id,category,role,cad_layer,aci,section,segment,scheme,start_x,start_y,start_z,end_x,end_y,end_z,length
column_0041,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,-2875.0,0.0,59520.0,-2875.0,4250.0,4250.0
column_0042,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,-2875.0,4250.0,59520.0,-2875.0,8500.0,4250.0
column_0043,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,-2875.0,8500.0,59520.0,-2875.0,12750.0,4250.0
column_0044,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,-2875.0,12750.0,59520.0,-2875.0,17000.0,4250.0
column_0045,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,2875.0,0.0,59520.0,2875.0,4250.0,4250.0
column_0046,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,2875.0,4250.0,59520.0,2875.0,8500.0,4250.0
column_0047,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,2875.0,8500.0,59520.0,2875.0,12750.0,4250.0
column_0048,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,2875.0,12750.0,59520.0,2875.0,17000.0,4250.0
deck_cross_beam_0006,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P3_41520_83520:Z6,double-side-cantilever,59520.0,-2200.0,17000.0,59520.0,2700.0,17000.0,4900.0
transverse_column_brace_0011,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P3_41520_83520:Z6,alternating-x,59520.0,-2875.0,0.0,59520.0,2875.0,17000.0,17946.099855
transverse_column_brace_0012,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P3_41520_83520:Z6,alternating-x,59520.0,2875.0,0.0,59520.0,-2875.0,17000.0,17946.099855
column_0049,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,0.0,62520.0,-2875.0,4250.0,4250.0
column_0050,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,4250.0,62520.0,-2875.0,8500.0,4250.0
column_0051,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,8500.0,62520.0,-2875.0,12750.0,4250.0
column_0052,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,12750.0,62520.0,-2875.0,17000.0,4250.0
column_0053,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,0.0,62520.0,2875.0,4250.0,4250.0
column_0054,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,4250.0,62520.0,2875.0,8500.0,4250.0
column_0055,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,8500.0,62520.0,2875.0,12750.0,4250.0
column_0056,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,12750.0,62520.0,2875.0,17000.0,4250.0
deck_cross_beam_0007,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P3_41520_83520:Z7,double-side-cantilever,62520.0,-2200.0,17000.0,62520.0,2700.0,17000.0,4900.0
transverse_column_brace_0013,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P3_41520_83520:Z7,alternating-x,62520.0,-2875.0,0.0,62520.0,2875.0,17000.0,17946.099855
transverse_column_brace_0014,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P3_41520_83520:Z7,alternating-x,62520.0,2875.0,0.0,62520.0,-2875.0,17000.0,17946.099855
column_0057,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,-2875.0,0.0,74520.0,-2875.0,4250.0,4250.0
