id,category,role,cad_layer,aci,section,segment,scheme,start_x,start_y,start_z,end_x,end_y,end_z,length
column_0055,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,0.0,62520.0,-2875.0,4603.998259,4603.998259
column_0056,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,4603.998259,62520.0,-2875.0,9207.996517,4603.998259
column_0057,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,9207.996517,62520.0,-2875.0,13811.994776,4603.998259
column_0058,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,13811.994776,62520.0,-2875.0,18415.993035,4603.998259
column_0059,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,18415.993035,62520.0,-2875.0,23019.991293,4603.998259
column_0060,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,0.0,62520.0,2875.0,4603.998259,4603.998259
column_0061,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,4603.998259,62520.0,2875.0,9207.996517,4603.998259
column_0062,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,9207.996517,62520.0,2875.0,13811.994776,4603.998259
column_0063,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,13811.994776,62520.0,2875.0,18415.993035,4603.998259
column_0064,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,18415.993035,62520.0,2875.0,23019.991293,4603.998259
deck_cross_beam_0007,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P3_60000_90000:Z7,double-side-cantilever,62520.0,-2200.0,23019.991293,62520.0,2700.0,23019.991293,4900.0
transverse_column_brace_0013,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P3_60000_90000:Z7,alternating-x,62520.0,-2875.0,0.0,62520.0,2875.0,23019.991293,23727.252246
transverse_column_brace_0014,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P3_60000_90000:Z7,alternating-x,62520.0,2875.0,0.0,62520.0,-2875.0,23019.991293,23727.252246
column_0065,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,-2875.0,0.0,74520.0,-2875.0,4835.091974,4835.091974
column_0066,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,-2875.0,4835.091974,74520.0,-2875.0,9670.183949,4835.091974
column_0067,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,-2875.0,9670.183949,74520.0,-2875.0,14505.275923,4835.091974
column_0068,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,-2875.0,14505.275923,74520.0,-2875.0,19340.367897,4835.091974
column_0069,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,-2875.0,19340.367897,74520.0,-2875.0,24175.459872,4835.091974
column_0070,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,2875.0,0.0,74520.0,2875.0,4835.091974,4835.091974
column_0071,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,2875.0,4835.091974,74520.0,2875.0,9670.183949,4835.091974
column_0072,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,2875.0,9670.183949,74520.0,2875.0,14505.275923,4835.091974
column_0073,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,2875.0,14505.275923,74520.0,2875.0,19340.367897,4835.091974
column_0074,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,2875.0,19340.367897,74520.0,2875.0,24175.459872,4835.091974
deck_cross_beam_0008,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P3_60000_90000:Z8,double-side-cantilever,74520.0,-2200.0,24175.459872,74520.0,2700.0,24175.459872,4900.0
transverse_column_brace_0015,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P3_60000_90000:Z8,alternating-x,74520.0,-2875.0,0.0,74520.0,2875.0,24175.459872,24849.856338
transverse_column_brace_0016,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P3_60000_90000:Z8,alternating-x,74520.0,2875.0,0.0,74520.0,-2875.0,24175.459872,24849.856338
column_0075,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z9,alternating-x,77520.0,-2875.0,0.0,77520.0,-2875.0,4892.865403,4892.865403
column_0076,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z9,alternating-x,77520.0,-2875.0,4892.865403,77520.0,-2875.0,9785.730807,4892.865403
column_0077,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z9,alternating-x,77520.0,-2875.0,9785.730807,77520.0,-2875.0,14678.59621,4892.865403
column_0078,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z9,alternating-x,77520.0,-2875.0,14678.59621,77520.0,-2875.0,19571.461613,4892.865403
