id,category,role,cad_layer,aci,section,segment,scheme,start_x,start_y,start_z,end_x,end_y,end_z,length
column_0041,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,-2875.0,0.0,59520.0,-2875.0,4086.380321,4086.380321
column_0042,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,-2875.0,4086.380321,59520.0,-2875.0,8172.760643,4086.380321
column_0043,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,-2875.0,8172.760643,59520.0,-2875.0,12259.140964,4086.380321
column_0044,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,-2875.0,12259.140964,59520.0,-2875.0,16345.521285,4086.380321
column_0045,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,-2875.0,16345.521285,59520.0,-2875.0,20431.901607,4086.380321
column_0046,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,2875.0,0.0,59520.0,2875.0,4086.380321,4086.380321
column_0047,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,2875.0,4086.380321,59520.0,2875.0,8172.760643,4086.380321
column_0048,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,2875.0,8172.760643,59520.0,2875.0,12259.140964,4086.380321
column_0049,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,2875.0,12259.140964,59520.0,2875.0,16345.521285,4086.380321
column_0050,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,2875.0,16345.521285,59520.0,2875.0,20431.901607,4086.380321
deck_cross_beam_0006,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P2_40000_80000:Z6,double-side-cantilever,59520.0,-2200.0,20431.901607,59520.0,2700.0,20431.901607,4900.0
transverse_column_brace_0011,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P2_40000_80000:Z6,alternating-x,59520.0,-2875.0,0.0,59520.0,2875.0,20431.901607,21225.57663
transverse_column_brace_0012,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P2_40000_80000:Z6,alternating-x,59520.0,2875.0,0.0,59520.0,-2875.0,20431.901607,21225.57663
column_0051,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,0.0,62520.0,-2875.0,4120.976104,4120.976104
column_0052,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,4120.976104,62520.0,-2875.0,8241.952207,4120.976104
column_0053,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,8241.952207,62520.0,-2875.0,12362.928311,4120.976104
column_0054,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,12362.928311,62520.0,-2875.0,16483.904415,4120.976104
column_0055,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,16483.904415,62520.0,-2875.0,20604.880518,4120.976104
column_0056,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,0.0,62520.0,2875.0,4120.976104,4120.976104
column_0057,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,4120.976104,62520.0,2875.0,8241.952207,4120.976104
column_0058,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,8241.952207,62520.0,2875.0,12362.928311,4120.976104
column_0059,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,12362.928311,62520.0,2875.0,16483.904415,4120.976104
column_0060,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,16483.904415,62520.0,2875.0,20604.880518,4120.976104
deck_cross_beam_0007,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P2_40000_80000:Z7,double-side-cantilever,62520.0,-2200.0,20604.880518,62520.0,2700.0,20604.880518,4900.0
transverse_column_brace_0013,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P2_40000_80000:Z7,alternating-x,62520.0,-2875.0,0.0,62520.0,2875.0,20604.880518,21392.138771
transverse_column_brace_0014,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P2_40000_80000:Z7,alternating-x,62520.0,2875.0,0.0,62520.0,-2875.0,20604.880518,21392.138771
column_0061,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,-2875.0,0.0,74520.0,-2875.0,4259.359233,4259.359233
column_0062,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,-2875.0,4259.359233,74520.0,-2875.0,8518.718466,4259.359233
column_0063,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,-2875.0,8518.718466,74520.0,-2875.0,12778.077699,4259.359233
