id,category,role,cad_layer,aci,section,segment,scheme,start_x,start_y,start_z,end_x,end_y,end_z,length
column_0001,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,-2875.0,0.0,0.0,-2875.0,4250.0,4250.0
column_0002,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,-2875.0,4250.0,0.0,-2875.0,8500.0,4250.0
column_0003,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,-2875.0,8500.0,0.0,-2875.0,12750.0,4250.0
column_0004,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,-2875.0,12750.0,0.0,-2875.0,17000.0,4250.0
column_0005,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,2875.0,0.0,0.0,2875.0,4250.0,4250.0
column_0006,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,2875.0,4250.0,0.0,2875.0,8500.0,4250.0
column_0007,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,2875.0,8500.0,0.0,2875.0,12750.0,4250.0
column_0008,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,2875.0,12750.0,0.0,2875.0,17000.0,4250.0
deck_cross_beam_0001,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P1_0_3000:Z1,double-side-cantilever,0.0,-2200.0,17000.0,0.0,2700.0,17000.0,4900.0
transverse_column_brace_0001,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P1_0_3000:Z1,alternating-x,0.0,-2875.0,0.0,0.0,2875.0,17000.0,17946.099855
transverse_column_brace_0002,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P1_0_3000:Z1,alternating-x,0.0,2875.0,0.0,0.0,-2875.0,17000.0,17946.099855
cantilever_edge_beam_0001,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,START_CANTILEVER,double-side-cantilever,-1400.0,-2200.0,17000.0,0.0,-2200.0,17000.0,1400.0
cantilever_edge_beam_0002,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,START_CANTILEVER,double-side-cantilever,-1400.0,2700.0,17000.0,0.0,2700.0,17000.0,1400.0
deck_main_beam_0001,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P2_3000_41520:S1_0_12000,double-side-cantilever,0.0,-2875.0,17000.0,3000.0,-2875.0,17000.0,3000.0
deck_main_beam_0005,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P2_3000_41520:S1_0_12000,double-side-cantilever,0.0,2875.0,17000.0,3000.0,2875.0,17000.0,3000.0
deck_cross_beam_0012,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P2_3000_41520:S1_0_12000,double-side-cantilever,3000.0,-2200.0,17000.0,3000.0,2700.0,17000.0,4900.0
deck_secondary_beam_0001,deck_secondary_beam,平台次梁,ZJ8_DECK_SECONDARY,3,HN-120x120,P2_3000_41520:S1_0_12000,double-side-cantilever,0.0,-1075.0,17000.0,3000.0,-1075.0,17000.0,3000.0
deck_secondary_beam_0005,deck_secondary_beam,平台次梁,ZJ8_DECK_SECONDARY,3,HN-120x120,P2_3000_41520:S1_0_12000,double-side-cantilever,0.0,1075.0,17000.0,3000.0,1075.0,17000.0,3000.0
cantilever_edge_beam_0003,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,P2_3000_41520:S1_0_12000,double-side-cantilever,0.0,-2200.0,17000.0,3000.0,-2200.0,17000.0,3000.0
cantilever_edge_beam_0007,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,P2_3000_41520:S1_0_12000,double-side-cantilever,0.0,2700.0,17000.0,3000.0,2700.0,17000.0,3000.0
platform_brace_0001,platform_brace,平台平面支撑,ZJ8_PLATFORM_BRACE,1,L90x90,P2_3000_41520:S1_0_12000,alternating-x,0.0,-2875.0,17000.0,3000.0,2875.0,17000.0,6485.560886
