id,category,role,cad_layer,aci,section,segment,scheme,start_x,start_y,start_z,end_x,end_y,end_z,length
column_0081,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z10,alternating-x,116520.0,-2875.0,0.0,116520.0,-2875.0,4743.700186,4743.700186
column_0082,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z10,alternating-x,116520.0,-2875.0,4743.700186,116520.0,-2875.0,9487.400371,4743.700186
column_0083,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z10,alternating-x,116520.0,-2875.0,9487.400371,116520.0,-2875.0,14231.100557,4743.700186
column_0084,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z10,alternating-x,116520.0,-2875.0,14231.100557,116520.0,-2875.0,18974.800742,4743.700186
column_0085,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z10,alternating-x,116520.0,-2875.0,18974.800742,116520.0,-2875.0,23718.500928,4743.700186
column_0086,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z10,alternating-x,116520.0,2875.0,0.0,116520.0,2875.0,4743.700186,4743.700186
column_0087,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z10,alternating-x,116520.0,2875.0,4743.700186,116520.0,2875.0,9487.400371,4743.700186
column_0088,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z10,alternating-x,116520.0,2875.0,9487.400371,116520.0,2875.0,14231.100557,4743.700186
column_0089,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z10,alternating-x,116520.0,2875.0,14231.100557,116520.0,2875.0,18974.800742,4743.700186
column_0090,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z10,alternating-x,116520.0,2875.0,18974.800742,116520.0,2875.0,23718.500928,4743.700186
deck_cross_beam_0010,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P3_80000_119520:Z10,double-side-cantilever,116520.0,-2200.0,23718.500928,116520.0,2700.0,23718.500928,4900.0
transverse_column_brace_0019,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P3_80000_119520:Z10,alternating-x,116520.0,-2875.0,0.0,116520.0,2875.0,23718.500928,24405.527781
transverse_column_brace_0020,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P3_80000_119520:Z10,alternating-x,116520.0,2875.0,0.0,116520.0,-2875.0,23718.500928,24405.527781
column_0091,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z11,alternating-x,119520.0,-2875.0,0.0,119520.0,-2875.0,4778.295968,4778.295968
column_0092,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z11,alternating-x,119520.0,-2875.0,4778.295968,119520.0,-2875.0,9556.591936,4778.295968
column_0093,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z11,alternating-x,119520.0,-2875.0,9556.591936,119520.0,-2875.0,14334.887904,4778.295968
column_0094,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z11,alternating-x,119520.0,-2875.0,14334.887904,119520.0,-2875.0,19113.183872,4778.295968
column_0095,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z11,alternating-x,119520.0,-2875.0,19113.183872,119520.0,-2875.0,23891.47984,4778.295968
column_0096,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z11,alternating-x,119520.0,2875.0,0.0,119520.0,2875.0,4778.295968,4778.295968
column_0097,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z11,alternating-x,119520.0,2875.0,4778.295968,119520.0,2875.0,9556.591936,4778.295968
column_0098,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z11,alternating-x,119520.0,2875.0,9556.591936,119520.0,2875.0,14334.887904,4778.295968
column_0099,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z11,alternating-x,119520.0,2875.0,14334.887904,119520.0,2875.0,19113.183872,4778.295968
column_0100,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z11,alternating-x,119520.0,2875.0,19113.183872,119520.0,2875.0,23891.47984,4778.295968
deck_cross_beam_0011,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P3_80000_119520:Z11,double-side-cantilever,119520.0,-2200.0,23891.47984,119520.0,2700.0,23891.47984,4900.0
