id,category,role,cad_layer,aci,section,segment,scheme,start_x,start_y,start_z,end_x,end_y,end_z,length
deck_cross_beam_0018,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P1_0_30000:S3_24000_36000,double-side-cantilever,27000.0,-2200.0,19599.804301,27000.0,2700.0,19599.804301,4900.0
deck_cross_beam_0019,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P1_0_30000:S3_24000_36000,double-side-cantilever,30000.0,-2200.0,19888.671446,30000.0,2700.0,19888.671446,4900.0
deck_secondary_beam_0017,deck_secondary_beam,平台次梁,ZJ8_DECK_SECONDARY,3,HN-120x120,P1_0_30000:S3_24000_36000,double-side-cantilever,24000.0,-1075.0,19310.937157,27000.0,-1075.0,19599.804301,3013.875284
deck_secondary_beam_0018,deck_secondary_beam,平台次梁,ZJ8_DECK_SECONDARY,3,HN-120x120,P1_0_30000:S3_24000_36000,double-side-cantilever,27000.0,-1075.0,19599.804301,30000.0,-1075.0,19888.671446,3013.875284
deck_secondary_beam_0021,deck_secondary_beam,平台次梁,ZJ8_DECK_SECONDARY,3,HN-120x120,P1_0_30000:S3_24000_36000,double-side-cantilever,24000.0,1075.0,19310.937157,27000.0,1075.0,19599.804301,3013.875284
deck_secondary_beam_0022,deck_secondary_beam,平台次梁,ZJ8_DECK_SECONDARY,3,HN-120x120,P1_0_30000:S3_24000_36000,double-side-cantilever,27000.0,1075.0,19599.804301,30000.0,1075.0,19888.671446,3013.875284
cantilever_edge_beam_0019,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,P1_0_30000:S3_24000_36000,double-side-cantilever,24000.0,-2200.0,19310.937157,27000.0,-2200.0,19599.804301,3013.875284
cantilever_edge_beam_0020,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,P1_0_30000:S3_24000_36000,double-side-cantilever,27000.0,-2200.0,19599.804301,30000.0,-2200.0,19888.671446,3013.875284
cantilever_edge_beam_0023,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,P1_0_30000:S3_24000_36000,double-side-cantilever,24000.0,2700.0,19310.937157,27000.0,2700.0,19599.804301,3013.875284
cantilever_edge_beam_0024,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,P1_0_30000:S3_24000_36000,double-side-cantilever,27000.0,2700.0,19599.804301,30000.0,2700.0,19888.671446,3013.875284
platform_brace_0009,platform_brace,平台平面支撑,ZJ8_PLATFORM_BRACE,1,L90x90,P1_0_30000:S3_24000_36000,alternating-x,24000.0,-2875.0,19310.937157,27000.0,2875.0,19599.804301,6491.990775
platform_brace_0010,platform_brace,平台平面支撑,ZJ8_PLATFORM_BRACE,1,L90x90,P1_0_30000:S3_24000_36000,alternating-x,27000.0,2875.0,19599.804301,30000.0,-2875.0,19888.671446,6491.990775
