id,category,role,cad_layer,aci,section,segment,scheme,start_x,start_y,start_z,end_x,end_y,end_z,length
column_0041,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,-2875.0,0.0,59520.0,-2875.0,4973.8386,4973.8386
column_0042,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,-2875.0,4973.8386,59520.0,-2875.0,9947.6772,4973.8386
column_0043,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,-2875.0,9947.6772,59520.0,-2875.0,14921.5158,4973.8386
column_0044,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,2875.0,0.0,59520.0,2875.0,4973.8386,4973.8386
column_0045,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,2875.0,4973.8386,59520.0,2875.0,9947.6772,4973.8386
column_0046,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z6,alternating-x,59520.0,2875.0,9947.6772,59520.0,2875.0,14921.5158,4973.8386
deck_cross_beam_0006,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P2_39000_77520:Z6,double-side-cantilever,59520.0,-2200.0,14921.5158,59520.0,2700.0,14921.5158,4900.0
transverse_column_brace_0011,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P2_39000_77520:Z6,alternating-x,59520.0,-2875.0,0.0,59520.0,2875.0,14921.5158,15991.064185
transverse_column_brace_0012,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P2_39000_77520:Z6,alternating-x,59520.0,2875.0,0.0,59520.0,-2875.0,14921.5158,15991.064185
column_0047,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,0.0,62520.0,-2875.0,4938.91783,4938.91783
column_0048,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,4938.91783,62520.0,-2875.0,9877.835661,4938.91783
column_0049,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,-2875.0,9877.835661,62520.0,-2875.0,14816.753491,4938.91783
column_0050,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,0.0,62520.0,2875.0,4938.91783,4938.91783
column_0051,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,4938.91783,62520.0,2875.0,9877.835661,4938.91783
column_0052,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z7,alternating-x,62520.0,2875.0,9877.835661,62520.0,2875.0,14816.753491,4938.91783
deck_cross_beam_0007,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P2_39000_77520:Z7,double-side-cantilever,62520.0,-2200.0,14816.753491,62520.0,2700.0,14816.753491,4900.0
transverse_column_brace_0013,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P2_39000_77520:Z7,alternating-x,62520.0,-2875.0,0.0,62520.0,2875.0,14816.753491,15893.353454
transverse_column_brace_0014,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P2_39000_77520:Z7,alternating-x,62520.0,2875.0,0.0,62520.0,-2875.0,14816.753491,15893.353454
column_0053,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,-2875.0,0.0,74520.0,-2875.0,4799.234752,4799.234752
column_0054,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,-2875.0,4799.234752,74520.0,-2875.0,9598.469505,4799.234752
column_0055,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,-2875.0,9598.469505,74520.0,-2875.0,14397.704257,4799.234752
column_0056,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,2875.0,0.0,74520.0,2875.0,4799.234752,4799.234752
column_0057,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,2875.0,4799.234752,74520.0,2875.0,9598.469505,4799.234752
column_0058,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z8,alternating-x,74520.0,2875.0,9598.469505,74520.0,2875.0,14397.704257,4799.234752
deck_cross_beam_0008,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P2_39000_77520:Z8,double-side-cantilever,74520.0,-2200.0,14397.704257,74520.0,2700.0,14397.704257,4900.0
transverse_column_brace_0015,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P2_39000_77520:Z8,alternating-x,74520.0,-2875.0,0.0,74520.0,2875.0,14397.704257,15503.431487
transverse_column_brace_0016,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P2_39000_77520:Z8,alternating-x,74520.0,2875.0,0.0,74520.0,-2875.0,14397.704257,15503.431487
column_0059,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z9,alternating-x,77520.0,-2875.0,0.0,77520.0,-2875.0,4764.313983,4764.313983
column_0060,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z9,alternating-x,77520.0,-2875.0,4764.313983,77520.0,-2875.0,9528.627966,4764.313983
