segment,member_count,total_member_length,start_station,end_station
P1_0_3000,21,106977.761,0,3000
P2_3000_41520,155,710609.962,3000,41520
P3_41520_83520,263,978446.618,41520,83520
P4_83520_119520,254,810964.694,83520,119520
